epoch	loss	acc	val_loss	val_acc
0	0.7271651942518693	0.5589039125431531	0.6898156049924019	0.5413461538461538
1	0.6972607904391404	0.5609896432681243	0.7000798118420136	0.5416666666666666
2	0.6584027854016241	0.6066599539700805	0.5760643308743453	0.7365384615384616
3	0.5408987882531004	0.7459004602991944	0.5269624807895759	0.7509615384615385
4	0.5140998017801651	0.765391254315305	0.5213660114086591	0.7580128205128205
5	0.5091532627752927	0.7665420023014959	0.5147121780957931	0.7689102564102565
6	0.5065508285586661	0.7704976985040276	0.5104514374182775	0.7705128205128206
7	0.5015364975868901	0.7716484464902187	0.5126888547188196	0.7669871794871795
8	0.500379741226159	0.7722238204833142	0.5084159535475267	0.7730769230769231
9	0.501513455676127	0.7708573072497124	0.5110081777358666	0.7701923076923077
10	0.5010173119973258	0.7723676639815881	0.5094457663022555	0.7705128205128206
11	0.501521379167109	0.7722957422324511	0.5086246728897095	0.7737179487179487
12	0.49998227499159625	0.7736622554660529	0.5074309009007919	0.7733974358974359
13	0.5012374915551261	0.770066168009206	0.5123392780621846	0.7701923076923077
14	0.500732892470475	0.7738060989643268	0.508876970792428	0.7737179487179487
