epoch	loss	acc	val_loss	val_acc
0	0.5826112879022218	0.7081415420023015	0.547183417280515	0.7798076923076923
1	0.47506152952499303	0.7834436133486766	0.5026256209764726	0.771474358974359
2	0.44356572494270885	0.8022871116225546	0.5261839269063412	0.7403846153846154
3	0.4084414615284038	0.8167433831990794	0.384129712692438	0.8397435897435898
4	0.3363669593020056	0.8578826237054085	0.3675499063653824	0.8471153846153846
5	0.3183410045261076	0.8651467203682394	0.364525105823309	0.8490384615384615
6	0.2944394193495376	0.8778768699654775	0.4255540838226294	0.8076923076923077
7	0.2678936637929449	0.8901035673187572	0.3442976711079096	0.8727564102564103
8	0.24539761376428934	0.8999568469505178	0.304102393392569	0.8875
9	0.23732561008068032	0.9010356731875719	0.30813358714565253	0.8846153846153846
10	0.23418011958308954	0.9058544303797469	0.2979714713226526	0.8910256410256411
11	0.22915691202474273	0.9072209436133487	0.2941293985224687	0.8903846153846153
12	0.2263224719668834	0.9093785960874569	0.29898506246316126	0.8875
